lemma	prediction	target	loss	dist
absoudre	absouds	absous	1.0082045793533325	1
absoudre	absoudez	absolvez	1.557855486869812	2
absoudre	absoudent	absolvent	1.9508634805679321	2
absoudre	absoud	absout	1.0778902769088745	1
absoudre	absoudais	absolvais	1.4071366786956787	2
absoudre	absoudais	absolvais	1.4069931507110596	2
absoudre	absoudîmes	absolûmes	2.037001132965088	3
absoudre	absoudîtes	absolûtes	2.0501701831817627	3
absoudre	absoudis	absolus	2.52821946144104	3
absoudre	absoudirent	absolurent	1.8013553619384766	3
absoudre	absoudit	absolut	2.437816858291626	3
absoudre	absoudes	absolves	2.057490110397339	2
absoudre	absoudent	absolvent	1.9321844577789307	2
anluminer	anluminerions	anlumineriiens	0.588962972164154	2
anluminer	anlumineriez	anlumineriiez	0.5708836913108826	1
anluminer	anluminerait	anlumineroit	0.585131049156189	1
anluminer	anluminerez	anlumineroiz	0.6155318021774292	2
anluminer	anluminions	anluminiiens	1.136849284172058	2
anluminer	anluminèrent	anluminerent	0.6121543049812317	1
anluminer	anlumine	anlumin	0.9198722243309021	1
anluminer	anlumines	anlumins	1.5840744972229004	1
anluminer	anluminassions	anluminissons	0.7882391214370728	2
anluminer	anluminassiez	anluminissoiz	0.721495509147644	3
anluminer	anluminât	anluminast	0.7149192094802856	2
baptizer	baptizerais	baptizerois	0.6358548402786255	1
baptizer	baptizerais	baptizerois	0.6341525912284851	1
baptizer	baptizeraient	baptizeroient	0.5546537041664124	1
baptizer	baptizais	baptizois	0.7585629820823669	1
baptizer	baptizait	baptizoit	0.7608734965324402	1
baptizer	baptizâtes	baptizastes	0.6532862782478333	2
baptizer	baptiziez	baptizez	0.8399009704589844	1
conclure	conclurant	concluant	0.732655942440033	1
conclure	concluré	conclu	1.017384648323059	2
conclure	conclureriez	concluriez	0.6809234023094177	2
conclure	conclurerais	conclurais	0.6823830008506775	2
conclure	conclureront	concluront	0.6755804419517517	2
conclure	conclurez	concluez	0.812590479850769	1
conclure	conclurent	concluent	0.737295389175415	1
conclure	conclurions	concluions	0.6812264919281006	1
conclure	concluriez	concluiez	0.7474163770675659	1
conclure	conclurais	concluais	0.7318295836448669	1
conclure	concluraient	concluaient	0.6183127760887146	1
conclure	conclurait	concluait	0.7322627305984497	1
conclure	conclurâmes	conclûmes	2.0416252613067627	3
conclure	conclurâtes	conclûtes	1.4315892457962036	3
conclure	conclurez	concluez	0.8127615451812744	1
conclure	conclure	conclus	1.0733896493911743	2
conclure	conclure	conclue	0.90787273645401	1
conclure	conclure	conclue	0.9077677726745605	1
conclure	conclurasses	conclusses	1.1681898832321167	2
congeler	congeleriiez	congèleriez	0.6234691739082336	2
congeler	congeleroient	congèleraient	0.5415512323379517	2
congeler	congelerons	congèlerons	0.6241472363471985	1
congeler	congeleras	congèleras	0.6762271523475647	1
congeler	congelent	congèlent	0.7392477989196777	1
congeler	congele	congèle	0.9105625152587891	1
congeler	congeliiens	congelions	0.628542959690094	2
congeler	congeloie	congelais	0.5724595785140991	2
congeler	congeliiez	congeliez	0.6428728103637695	1
congeler	congeloies	congelais	0.5657957196235657	2
congeler	congeloient	congelaient	0.46822869777679443	1
congeler	congeloit	congelait	0.5643518567085266	1
congeler	congele	congèle	0.910995602607727	1
congeler	congelez	congeliez	0.6839022636413574	1
congeler	congelissons	congelassions	0.5118167400360107	2
deviser	deviserois	deviserais	0.6736820340156555	1
deviser	deviserois	deviserais	0.6662803292274475	1
deviser	deviseroit	deviserait	0.6758098006248474	1
deviser	devisois	devisais	0.8040181994438171	1
deviser	devisoient	devisaient	0.6625096797943115	1
deviser	devisastes	devisâtes	0.6959320306777954	2
deviser	deviserent	devisèrent	0.5881310105323792	1
deviser	devisast	devisât	0.8656589388847351	2
décevoir	décevu	déçu	2.7619054317474365	3
décevoir	décevs	déçois	3.532890796661377	3
décevoir	décevit	déçut	2.285658836364746	4
décevoir	décevs	déçois	2.9817538261413574	3
décevoir	déceves	déçoives	2.866853713989258	3
décevoir	décevent	déçoivent	2.6584324836730957	3
décevoir	décevissons	déçussions	1.2684874534606934	5
décevoir	décevisses	déçusses	1.539998173713684	4
décevoir	décevissent	déçussent	1.3916447162628174	4
décevoir	décevît	déçût	2.2833805084228516	4
encenser	encenseroies	encenserais	0.6008018255233765	2
encenser	encens	encense	0.8029027581214905	1
encenser	encensiiez	encensiez	0.6016978621482849	1
encenser	encensoient	encensaient	0.5968920588493347	1
encenser	encens	encense	0.8882341384887695	1
encenser	encens	encenses	0.7888213992118835	2
encenser	encensissons	encensassions	0.46634456515312195	2
encenser	encensast	encensât	0.7932178974151611	2
eriger	erigeâmes	erigeasmes	0.29109251499176025	2
